date,gdp,consumption_total,consumption_nondurables,consumption_durables,consumption_services,business_investment,residential_investment,inventory_change,government_total,government_federal,government_state_local,net_exports,exports,imports
1989:Q3,9919.2,6276.9,1518.1,346.7,4601.2,810.8,571.5,14.0,2482.6,1025.0,1434.5,-65.8,617.8,683.7
1989:Q4,9938.8,6304.2,1535.3,336.1,4644.6,802.7,559.3,20.3,2495.0,1020.2,1453.7,-68.8,627.2,696.0
1990:Q1,10047.4,6357.2,1533.3,350.3,4668.7,813.0,564.3,18.6,2534.9,1037.2,1476.1,-63.7,654.4,718.1
1990:Q2,10083.9,6376.6,1535.0,338.7,4725.3,802.4,542.0,46.6,2538.9,1038.6,1478.9,-54.3,662.6,716.9
1990:Q3,10090.6,6401.8,1537.5,335.3,4763.2,808.0,512.9,30.5,2543.0,1034.0,1488.7,-46.4,667.6,714.0
1990:Q4,9998.7,6353.1,1522.1,326.1,4751.7,795.3,483.3,-14.3,2560.0,1035.3,1505.3,-21.4,673.5,694.8
1991:Q1,9951.9,6329.2,1522.8,317.1,4748.2,779.4,457.8,-22.6,2575.2,1047.1,1507.6,-9.3,677.6,686.9
1991:Q2,10029.5,6381.7,1531.7,318.7,4795.4,775.5,471.9,-26.8,2585.7,1051.4,1513.7,3.2,702.3,699.1
1991:Q3,10080.2,6413.5,1534.3,323.6,4816.2,768.8,487.9,1.1,2578.5,1037.5,1522.5,0.1,718.9,718.8
1991:Q4,10115.3,6410.3,1521.1,318.3,4844.9,768.4,497.5,39.4,2559.6,1011.5,1533.2,0.4,735.1,734.7
1992:Q1,10236.4,6530.3,1543.8,330.8,4924.2,765.4,526.0,3.0,2582.3,1015.3,1553.0,8.4,748.4,740.0
1992:Q2,10347.4,6574.7,1550.2,333.1,4962.5,790.1,544.0,28.7,2577.3,1012.6,1550.7,-3.4,748.7,752.2
1992:Q3,10449.7,6645.1,1559.5,340.2,5015.1,802.2,544.2,26.3,2593.7,1026.9,1551.4,0.6,764.6,764.0
1992:Q4,10558.6,6724.3,1575.1,347.0,5070.9,823.2,565.0,30.2,2593.4,1027.6,1550.2,-13.9,768.4,782.3
1993:Q1,10576.3,6750.1,1576.7,350.3,5090.3,831.4,565.4,52.1,2561.2,994.0,1555.6,-29.1,770.2,799.3
1993:Q2,10637.8,6811.5,1589.2,361.7,5116.0,847.7,572.9,35.1,2561.5,983.6,1568.2,-36.4,779.4,815.8
1993:Q3,10688.6,6887.3,1605.0,365.7,5175.2,854.6,594.4,2.3,2565.1,979.9,1576.4,-49.3,777.3,826.5
1993:Q4,10834.0,6947.8,1616.1,374.5,5208.7,885.4,624.8,19.5,2574.2,981.5,1584.1,-57.4,802.3,859.7
1994:Q1,10939.1,7027.3,1637.8,383.5,5251.6,894.7,634.2,61.9,2542.3,947.3,1590.7,-69.6,810.2,879.8
1994:Q2,11087.4,7081.9,1650.7,387.6,5289.0,908.7,654.7,111.8,2554.9,943.2,1608.8,-75.0,837.6,912.6
1994:Q3,11152.2,7135.9,1664.9,391.7,5324.2,924.2,645.0,69.8,2598.0,966.1,1627.8,-69.3,868.9,938.2
1994:Q4,11279.9,7213.1,1682.6,405.4,5355.9,960.3,635.1,98.1,2575.4,940.6,1633.7,-75.6,889.0,964.6
1995:Q1,11320.0,7231.0,1688.7,397.0,5392.8,995.8,620.7,82.0,2584.4,938.0,1646.5,-79.7,906.1,985.8
1995:Q2,11353.7,7294.4,1697.0,401.1,5446.4,1005.3,601.6,46.8,2593.1,934.9,1659.4,-76.3,918.8,995.1
1995:Q3,11450.3,7360.5,1703.0,412.4,5486.3,1011.7,623.8,10.6,2586.3,927.4,1661.1,-40.0,958.6,998.6
1995:Q4,11528.1,7411.9,1711.8,419.5,5516.8,1031.3,636.0,17.1,2559.2,895.8,1669.7,-39.1,972.2,1011.3
1996:Q1,11614.4,7480.2,1722.9,424.1,5571.4,1057.4,652.5,2.3,2576.1,913.5,1666.8,-60.3,983.9,1044.2
1996:Q2,11808.1,7560.7,1745.0,437.6,5603.4,1085.6,680.9,33.6,2608.2,922.1,1690.8,-67.6,999.9,1067.6
1996:Q3,11914.1,7606.5,1757.4,440.7,5633.9,1119.8,679.5,74.2,2608.2,909.9,1705.1,-94.2,1008.0,1102.2
1996:Q4,12037.8,7667.1,1771.6,449.3,5665.4,1148.2,671.8,43.2,2626.2,905.5,1729.5,-53.0,1070.9,1123.9
1997:Q1,12115.5,7747.9,1782.3,461.5,5715.7,1174.8,675.2,35.6,2612.6,892.7,1729.9,-80.7,1091.2,1171.9
1997:Q2,12317.2,7782.8,1783.1,460.0,5758.9,1199.3,684.7,140.4,2646.4,912.5,1742.7,-76.4,1134.8,1211.2
1997:Q3,12471.0,7915.4,1811.6,480.5,5827.7,1252.0,691.3,93.1,2658.7,908.6,1760.3,-94.8,1161.1,1255.9
1997:Q4,12577.5,8010.0,1824.3,492.7,5891.6,1260.0,698.6,99.3,2672.0,907.2,1776.1,-123.6,1159.4,1283.0
1998:Q1,12703.7,8091.0,1837.3,496.7,5959.6,1300.9,713.1,151.7,2662.4,884.6,1792.3,-166.3,1164.8,1331.1
1998:Q2,12821.3,8233.5,1859.7,521.8,6036.7,1344.9,737.8,55.3,2709.1,901.9,1821.7,-209.7,1152.0,1361.6
1998:Q3,12982.8,8340.8,1873.2,536.7,6108.7,1366.1,759.4,70.0,2729.5,898.4,1847.3,-233.3,1146.7,1380.0
1998:Q4,13191.7,8461.3,1898.8,568.3,6142.7,1406.0,777.2,81.9,2745.6,904.0,1857.8,-235.3,1189.3,1424.7
1999:Q1,13315.6,8548.2,1934.0,569.6,6198.6,1437.1,780.2,113.3,2765.0,902.6,1880.0,-279.5,1185.4,1464.9
1999:Q2,13426.7,8679.1,1952.3,596.8,6264.5,1475.3,792.4,48.5,2775.0,901.3,1892.1,-306.9,1200.1,1507.0
1999:Q3,13604.8,8776.7,1961.3,611.1,6332.9,1517.5,798.3,60.1,2808.4,915.4,1911.1,-325.2,1236.3,1561.5
1999:Q4,13828.0,8905.1,2001.3,618.4,6416.3,1524.3,804.1,114.3,2852.1,934.0,1935.9,-338.7,1262.7,1601.4
2000:Q1,13878.1,9039.7,1983.8,652.9,6513.9,1580.1,808.1,20.0,2831.9,903.0,1949.9,-381.0,1280.9,1661.9
2000:Q2,14130.9,9124.2,2023.1,640.9,6590.2,1629.4,804.0,118.0,2859.8,931.2,1947.2,-394.9,1319.9,1714.8
2000:Q3,14145.3,9211.6,2036.5,651.8,6649.9,1647.2,791.5,84.7,2847.8,913.6,1954.5,-424.9,1351.6,1776.5
