date,DIV,NDPI,NPI,OLI,PINTI,PROPI,WSD
1969:Q3,24.3,707.5,811.6,67.0,77.2,78.0,526.4
1969:Q4,24.6,721.1,826.8,68.5,80.4,77.3,536.5
1970:Q1,24.5,737.2,841.7,69.9,84.7,77.1,545.1
1970:Q2,24.3,754.5,860.0,71.2,88.8,76.7,549.1
1970:Q3,24.2,774.0,874.7,72.5,93.3,78.5,555.7
1970:Q4,24.2,782.2,883.7,73.7,95.8,78.9,556.4
1971:Q1,25.0,805.3,903.7,77.4,97.7,80.3,570.5
1971:Q2,25.0,826.4,927.1,79.3,99.3,82.8,580.4
1971:Q3,25.2,838.8,941.1,81.3,100.9,84.6,588.8
1971:Q4,24.9,853.8,959.3,83.7,102.5,87.9,598.4
1972:Q1,26.1,866.8,986.5,89.9,104.9,87.9,618.5
1972:Q2,26.4,880.8,1004.2,92.1,107.7,91.3,630.4
1972:Q3,27.1,905.8,1030.1,93.4,111.3,95.5,642.3
1972:Q4,27.7,949.9,1077.0,94.8,115.1,105.6,664.0
1973:Q1,28.4,968.7,1095.1,102.1,118.2,104.1,683.4
1973:Q2,29.3,995.7,1124.9,103.0,122.4,109.9,700.2
1973:Q3,30.4,1018.4,1152.5,104.2,128.4,113.8,716.2
1973:Q4,31.5,1050.7,1190.7,106.4,133.1,122.2,735.3
1974:Q1,32.5,1064.0,1206.8,110.2,137.9,115.7,748.2
1974:Q2,33.3,1084.0,1232.9,113.2,144.4,108.6,765.3
1974:Q3,33.5,1114.2,1269.1,117.1,150.3,111.0,783.1
1974:Q4,33.4,1140.9,1298.5,121.3,157.0,113.5,792.5
1975:Q1,32.9,1160.4,1318.4,126.5,163.5,112.7,791.9
1975:Q2,32.6,1228.9,1350.0,130.8,165.9,114.3,800.4
1975:Q3,32.8,1233.6,1386.5,134.7,169.7,120.7,821.3
1975:Q4,33.3,1264.2,1422.7,137.6,173.1,125.2,845.8
1976:Q1,36.1,1293.6,1456.1,143.5,174.4,126.4,871.2
1976:Q2,38.1,1311.9,1481.2,146.1,179.0,128.6,889.4
1976:Q3,39.9,1342.3,1518.4,149.9,182.9,132.7,908.5
1976:Q4,41.8,1372.1,1554.9,154.9,187.9,136.2,929.9
1977:Q1,42.6,1400.0,1588.8,163.2,196.2,138.6,950.0
1977:Q2,43.9,1437.3,1633.0,169.4,202.7,140.5,980.9
1977:Q3,45.6,1479.2,1677.7,174.6,209.9,142.4,1007.5
1977:Q4,46.8,1528.9,1737.4,179.4,218.7,156.5,1038.2
1978:Q1,48.2,1566.1,1778.1,187.1,225.1,158.5,1063.8
1978:Q2,49.4,1615.1,1838.2,193.1,231.9,166.1,1106.0
1978:Q3,51.7,1656.3,1892.6,198.9,238.0,168.3,1138.0
1978:Q4,53.6,1698.7,1946.0,205.8,245.3,170.9,1174.4
1979:Q1,55.4,1751.6,2005.2,214.0,253.2,180.1,1208.6
1979:Q2,56.9,1783.2,2045.2,220.4,261.6,179.2,1234.4
1979:Q3,58.2,1836.0,2110.9,227.3,272.2,180.7,1269.4
1979:Q4,60.1,1884.4,2169.6,234.0,290.9,177.8,1300.9
1980:Q1,62.6,1948.4,2233.2,239.8,316.2,167.6,1333.8
1980:Q2,64.9,1978.6,2270.8,245.3,327.6,160.3,1353.9
1980:Q3,64.7,2047.0,2349.2,251.3,333.0,173.4,1377.3
1980:Q4,64.6,2125.8,2444.6,258.9,357.3,185.0,1428.7
1981:Q1,66.1,2177.1,2508.0,271.9,373.4,188.2,1467.7
1981:Q2,68.9,2215.5,2558.1,278.1,398.4,176.4,1496.7
1981:Q3,71.3,2300.1,2657.0,284.5,435.2,182.3,1530.6
1981:Q4,72.6,2337.0,2689.7,290.1,449.8,171.8,1550.6
1982:Q1,72.3,2372.2,2724.7,297.1,468.7,165.2,1567.5
1982:Q2,71.4,2409.8,2769.5,302.6,485.8,169.4,1581.7
1982:Q3,72.7,2460.3,2810.5,308.3,486.2,170.7,1596.4
1982:Q4,76.2,2496.5,2853.1,313.8,486.3,179.5,1604.4
1983:Q1,79.3,2542.3,2893.1,324.8,495.8,183.3,1622.4
1983:Q2,81.1,2583.8,2943.4,331.6,504.7,182.6,1654.7
1983:Q3,83.2,2656.8,3002.2,338.2,527.0,183.8,1691.4
1983:Q4,84.3,2732.5,3088.1,345.3,545.5,195.3,1741.5
1984:Q1,84.8,2815.1,3176.2,359.8,558.1,221.9,1784.0
1984:Q2,85.8,2888.2,3258.7,367.0,581.4,231.8,1828.1
1984:Q3,85.5,2948.5,3332.6,374.6,608.2,232.4,1867.1
1984:Q4,87.2,2991.3,3387.2,382.4,616.0,226.9,1900.5
1985:Q1,90.5,3019.2,3451.5,391.4,624.2,240.7,1932.1
1985:Q2,92.8,3104.4,3493.0,400.0,628.4,238.5,1963.6
1985:Q3,94.9,3120.2,3541.7,409.0,627.8,240.7,1997.4
1985:Q4,97.0,3176.5,3605.4,418.7,641.6,244.3,2037.0
1986:Q1,101.7,3242.4,3668.7,427.6,661.7,245.6,2063.5
1986:Q2,104.6,3279.7,3709.1,435.4,666.0,251.6,2081.8
1986:Q3,104.3,3315.5,3754.9,443.8,663.8,264.4,2111.5
1986:Q4,101.9,3336.0,3792.0,452.2,661.1,264.2,2152.5
1987:Q1,99.3,3392.3,3843.0,455.1,658.8,275.4,2192.7
1987:Q2,98.5,3389.6,3901.3,462.1,666.3,282.3,2229.9
1987:Q3,102.1,3483.1,3972.1,469.5,678.4,289.5,2270.8
1987:Q4,108.1,3563.9,4070.8,477.8,693.9,298.6,2331.7
1988:Q1,116.6,3651.1,4153.2,491.4,700.0,319.2,2366.2
1988:Q2,124.2,3733.6,4231.4,501.6,706.1,322.5,2421.5
1988:Q3,132.3,3818.1,4324.8,513.0,726.7,333.6,2462.9
1988:Q4,138.8,3893.5,4410.7,526.9,747.4,326.8,2508.6
1989:Q1,147.6,3980.9,4533.8,538.3,782.5,348.1,2540.8
1989:Q2,155.1,4021.3,4588.0,551.1,801.5,339.5,2563.5
1989:Q3,160.4,4071.7,4643.3,562.8,810.0,337.2,2592.3
1989:Q4,166.8,4139.1,4718.9,574.1,815.0,339.7,2635.7
1990:Q1,170.4,4232.9,4815.4,588.3,825.6,345.6,2684.4
1990:Q2,170.6,4302.9,4897.5,595.9,830.8,351.1,2738.8
1990:Q3,170.8,4358.2,4958.9,603.2,839.6,358.9,2769.3
1990:Q4,167.0,4380.5,4981.4,609.3,844.5,357.0,2772.2
1991:Q1,176.0,4417.0,4997.8,615.8,833.2,347.5,2771.7
1991:Q2,180.8,4474.4,5060.3,627.5,829.7,353.0,2800.1
1991:Q3,183.6,4522.1,5112.3,641.8,828.5,353.6,2828.1
1991:Q4,183.8,4590.6,5189.2,659.0,819.3,362.6,2858.0
1992:Q1,185.2,4708.4,5297.3,682.8,811.1,378.7,2912.9
1992:Q2,188.0,4784.1,5391.3,699.9,809.3,395.2,2952.0
1992:Q3,190.7,4835.5,5451.7,712.0,801.8,407.9,2976.6
1992:Q4,193.2,4890.8,5529.7,716.1,802.4,418.8,3020.8
1993:Q1,196.0,4938.7,5555.7,729.6,806.7,418.9,3015.9
1993:Q2,200.6,4987.4,5630.9,733.8,801.8,429.6,3066.5
1993:Q3,207.5,5013.2,5672.4,740.5,793.7,423.4,3093.6
1993:Q4,216.4,5077.2,5752.4,747.9,785.1,440.0,3141.4
1994:Q1,226.7,5128.5,5802.1,760.7,782.8,450.2,3152.7
1994:Q2,235.2,5208.5,5906.4,768.2,794.3,454.1,3223.3
1994:Q3,241.6,5276.8,5972.2,773.0,810.0,456.8,3258.7
1994:Q4,245.8,5377.5,6082.9,776.5,838.2,465.5,3311.6
1995:Q1,248.7,5449.5,6174.1,776.3,856.9,467.4,3358.1
1995:Q2,253.7,5496.4,6243.2,777.7,869.6,472.0,3395.2
1995:Q3,261.7,5568.8,6321.0,780.8,874.4,484.5,3438.9
1995:Q4,272.7,5625.1,6395.1,785.4,876.5,501.0,3479.9
1996:Q1,285.7,5709.0,6510.7,790.1,874.8,523.3,3524.4
1996:Q2,297.9,5799.1,6638.6,797.6,879.4,547.5,3590.0
1996:Q3,308.5,5869.3,6712.8,804.0,889.2,547.5,3647.2
1996:Q4,317.6,5939.1,6802.6,810.2,902.2,556.8,3704.3
1997:Q1,325.6,6020.1,6922.2,816.0,908.6,575.6,3776.4
1997:Q2,333.6,6087.1,7003.3,824.3,921.9,575.1,3835.6
1997:Q3,341.8,6175.3,7116.4,835.9,934.2,588.5,3903.0
1997:Q4,350.1,6286.2,7254.0,851.6,950.3,596.6,3992.4
1998:Q1,357.8,6420.3,7416.5,867.1,978.0,617.4,4074.9
1998:Q2,361.4,6522.1,7544.4,882.8,1000.5,630.2,4145.5
1998:Q3,360.2,6607.2,7650.4,897.4,1006.8,645.4,4217.4
1998:Q4,354.3,6674.2,7742.1,910.7,990.7,668.1,4288.7
1999:Q1,345.5,6758.7,7836.6,922.3,981.2,682.4,4364.6
1999:Q2,342.3,6801.6,7896.8,934.6,978.7,690.2,4409.3
1999:Q3,346.9,6887.4,8008.0,950.3,990.3,699.5,4473.7
1999:Q4,359.2,7019.0,8173.0,971.8,1000.6,713.3,4584.1
2000:Q1,376.8,7199.6,8408.4,997.7,1021.3,720.6,4751.5
2000:Q2,388.5,7319.6,8549.7,1012.7,1053.3,750.7,4779.1
2000:Q3,392.2,7464.0,8711.7,1032.7,1086.1,760.3,4871.3
2000:Q4,388.0,7556.7,8815.4,1045.8,1116.5,782.7,4898.0
2001:Q1,377.3,7673.5,8975.4,1070.7,1117.6,810.0,4979.5
2001:Q2,373.0,7703.5,9012.4,1079.5,1113.8,827.8,4961.4
2001:Q3,371.6,7883.5,8997.1,1088.6,1090.8,845.6,4935.9
2001:Q4,375.7,7755.9,8987.7,1100.0,1028.0,840.9,4937.8
2002:Q1,392.1,7957.6,9032.7,1114.9,995.9,859.7,4945.9
2002:Q2,401.9,8080.9,9131.9,1130.8,996.8,864.4,4998.3
2002:Q3,403.5,8132.5,9176.7,1144.8,997.8,873.0,5012.1
2002:Q4,408.4,8220.5,9258.9,1166.6,1014.1,883.4,5027.1
2003:Q1,415.8,8285.4,9306.7,1186.2,1021.8,876.3,5027.0
2003:Q2,409.1,8387.9,9408.7,1205.9,1010.1,892.4,5101.4
2003:Q3,429.6,8587.0,9537.7,1225.0,1004.4,905.3,5168.7
2003:Q4,470.4,8652.6,9674.0,1244.3,981.2,916.1,5256.0
2004:Q1,514.6,8758.8,9771.0,1266.8,937.6,946.6,5274.5
2004:Q2,543.2,8908.0,9934.7,1287.7,924.3,963.0,5380.7
2004:Q3,544.4,9009.5,10073.9,1310.9,933.4,964.2,5492.8
2004:Q4,635.2,9192.3,10283.9,1328.4,962.0,977.8,5536.1
2005:Q1,533.2,9120.3,10292.6,1351.6,1012.3,957.1,5574.6
2005:Q2,544.8,9261.8,10458.1,1367.7,1066.3,963.9,5637.8
2005:Q3,547.8,9396.4,10621.9,1384.4,1101.1,988.0,5738.3
2005:Q4,594.4,9556.1,10811.9,1395.2,1145.6,1007.5,5814.8
2006:Q1,648.5,9783.9,11104.3,1408.3,1157.0,1049.5,5971.4
2006:Q2,678.1,9906.5,11257.8,1415.4,1231.4,1052.0,6012.6
2006:Q3,691.0,9992.3,11350.9,1425.4,1240.4,1048.8,6061.9
